BIANA ID	UniProt ID	genesymbol	description	geneid	Equivalent Entries
252554	O43427	FIBP	Acidic fibroblast growth factor intracellular-binding protein	9158	A8K0J7; Q6IBQ3; Q27Q85; Q9HD65; KEGG::9158
246239	A8MVW0	FAM171A2	Protein FAM171A2	284069	A8MQB4; KEGG::284069
522825	Q9BY07	SLC4A5	Electrogenic sodium bicarbonate cotransporter 4	57835	Q32MA7; Q8WXD3; Q96DS7; Q59EQ9; Q96DS8; Q9HBU5; Q8WXD7; KEGG::57835
583207	P30530	AXL	Tyrosine-protein kinase receptor UFO	558	Q8N5L2; Q9UD27; KEGG::558
300189	O43464	HTRA2	Serine protease HTRA2, mitochondrial	27429	Q9P0Y3; Q9HBZ4; Q9P0Y4; KEGG::27429
489497	O15514	POLR2D	DNA-directed RNA polymerase II subunit RPB4	5433	Q52LT4; KEGG::5433
518710	P09661	SNRPA1	U2 small nuclear ribonucleoprotein A'	6627	B2R5I6; Q8TBD2; KEGG::6627
242689	O14944	EREG	Proepiregulin; Epiregulin	2069	Q6FH69; O14944,B2; B2RC66; KEGG::2069
560436	Q9H5Q4	TFB2M	Dimethyladenosine transferase 2, mitochondrial	64216	Q9H626; KEGG::64216
2665846	B7Z6L9	-	-	-	-
2731935	Q75MN1	GARS	-	-	-
2651760	A9UEZ6	BCR/ABL fusion	-	-	-
576882	Q9BZW7	TSGA10	Testis-specific gene 10 protein	80705	D3DVH7; Q9BWX0; Q8NEP0; KEGG::80705
379296	Q99463	NPY6R	Putative neuropeptide Y receptor type 6	-	D3DQB4
398618	Q9Y5I1	PCDHA11	Protocadherin alpha-11	56138	B2RN58; O75279; KEGG::56138
323882	P00709	LALBA	Alpha-lactalbumin	3906	Q6FGX0; Q9UDK4; KEGG::3906
335269	Q6F5E8	RLTPR	Leucine-rich repeat-containing protein 16C	146206	KEGG::146206
335263	A6NHZ5	LRRC14B	Leucine-rich repeat-containing protein 14B	389257	KEGG::389257
335261	A6NIK2	LRRC10B	Leucine-rich repeat-containing protein 10B	390205	KEGG::390205
335266	Q8ND23	LRRC16B	Leucine-rich repeat-containing protein 16B	90668	Q8TEF7; Q96HS9; KEGG::90668
559858	Q8N8B7	TCEANC	Transcription elongation factor A N-terminal and central domain-containing protein	170082	B2RDM3; A6NI06; KEGG::170082
264467	P32455	GBP1	Interferon-induced guanylate-binding protein 1	2633	D3DT26; Q5T8M1; KEGG::2633
355203	Q5T089	MORN1	MORN repeat-containing protein 1	79906	Q8WW30; A6NKZ6; Q9H852; KEGG::79906
533379	Q9UNH7	SNX6	Sorting nexin-6	58533	Q9Y449; C0H5W9; C0H5W9,Q9; KEGG::58533
91779	Q9UKN5	PRDM4	PR domain zinc finger protein 4	11108	Q9UKN5,B3; B3KPI0; Q9UFA6; KEGG::11108
246232	A1A519	FAM170A	Protein FAM170A	340069	Q7Z4V2; Q8IW94; Q66LM8; KEGG::340069
533376	Q9Y5X3	SNX5	Sorting nexin-5	27131	D3DW26; Q52LC4; Q9BWP0; B7ZKN3; KEGG::27131
170092	Q99700	ATXN2	Ataxin-2	6311	A6NLD4; Q99493; Q6ZQZ7; KEGG::6311
288624	Q14469	HES1	Transcription factor HES-1	3280	Q6FHB2; KEGG::3280
288627	Q9Y543	HES2	Transcription factor HES-2	54626	Q9Y542; Q96EN4; A2RTZ9; KEGG::54626
51565	Q9ULK2	ATXN7L1; MGC33190	Ataxin-7-like protein 1	222255	B4DTS1; A4D0Q2; Q8N2T0; KEGG::222255
51567	Q5T6C5	ATXN7L2	Ataxin-7-like protein 2	127002	I6L9B5; KEGG::127002
51561	P05496	ATP5G1	ATP synthase lipid-binding protein, mitochondrial	516	Q6FIH7; KEGG::516
93738	Q6NZ63	STEAP1B	STEAP family member 1B	256227	B5MCI2; KEGG::256227
93736	P24666	ACP1	Low molecular weight phosphotyrosine protein phosphatase	52	Q53RU0; Q3KQX8; Q16725; Q16036; Q16035; B5MCC7; A8K1L9; Q59EH3,P2; P24667; Q59EH3; KEGG::52
300227	O43719	HTATSF1	HIV Tat-specific factor 1	27336	Q99730; Q59G06; D3DWG9; KEGG::27336
591436	Q9Y277	VDAC3	Voltage-dependent anion-selective channel protein 3	7419	Q9UIS0; KEGG::7419
217023	O95822	MLYCD	Malonyl-CoA decarboxylase, mitochondrial	23417	Q9Y3F2; Q9UNU5; KEGG::23417
109165	Q6P9G9	ZNF449	Zinc finger protein 449	203523	Q5JRZ8; Q5JRZ7; Q6NZX2; Q8N3Q1; Q8TED7; Q7Z3P1; KEGG::203523
47644	P60709	ACTB; PS1TP5BP1	Actin, cytoplasmic 1; Actin, cytoplasmic 1, N-terminally processed	60	Q75MN2; Q96B34; P99021; Q11211; P02570; Q96HG5; P70514; Q1KLZ0; Q64316; P60709,Q1; KEGG::60
202550	Q8IYJ1	CPNE9	Copine-9	151835	A1L430; A8MSP8; A6NDX6; KEGG::151835
497430	Q9NQ39	RPS10P5	Putative 40S ribosomal protein S10-like	-	-
2724602	Q59EG8	-	-	-	-
413932	Q9HAB8	PPCS	Phosphopantothenate--cysteine ligase	79717	Q3KQT2; Q9HAB8,Q5; Q5VVM0; KEGG::79717
93194	Q9NW13	RBM28	RNA-binding protein 28	55131	B4DU52; Q96CV3; A4D100; E9PDD9; Q53H65; KEGG::55131
47648	P68032	ACTC1	Actin, alpha cardiac muscle 1	70	B3KPP5,P6; P04270; B3KPP5; KEGG::70
306450	O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	1147	Q92467; O14666; Q5W0I4; Q13132; KEGG::1147
306456	Q14164	IKBKE	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	9641	D3DT78; Q3B754; Q3KR43; Q5JTS6; KEGG::9641
59742	Q9BXS0	COL25A1	Collagen alpha-1(XXV) chain; Collagen-like Alzheimer amyloid plaque component	84570	A8MPZ6; A8MWQ5; Q9BXR9; KEGG::84570
377497	Q5H8A3	NMS	Neuromedin-S	129521	KEGG::129521
377490	Q9HBL8	NMRAL1	NmrA-like family domain-containing protein 1	57407	KEGG::57407
355074	Q9Y605	MRFAP1	MORF4 family-associated protein 1	93621	B3KVT2; D3DVT3; KEGG::93621
408278	Q13835	PKP1	Plakophilin-1	5317	Q15152; O00645; Q14CA0; KEGG::5317
440221	Q9P2N5	RBM27	RNA-binding protein 27	54439	Q8IYW9; KEGG::54439
440226	P42696	RBM34	RNA-binding protein 34	23029	A8K8J7; Q8N2Z8; Q9H5A1; KEGG::23029
440224	Q96EV2	RBM33	RNA-binding protein 33	155435	A4D244; Q75ML5; Q9NSV0; Q75LN9; Q52LF5; B5MC24; KEGG::155435
408272	Q96KN3	PKNOX2	Homeobox protein PKNOX2	63876	Q63HL6; Q86XD1; KEGG::63876
191876	Q7Z7L8	C11orf96	Uncharacterized protein C11orf96	387763	KEGG::387763
525145	Q12765	SCRN1	Secernin-1	9805	C9JPG0; A8K0E9; Q8IWD1; Q25QX7; B4DHM0; B4DIP5; KEGG::9805
535760	Q76KD6	SPATC1	Speriolin	375686	B4DWW9; Q5U5I8; Q76KD6,B4; Q7Z6L7; KEGG::375686
2722144	Q3SY90	TCEB3B	-	-	-
57399	O14735	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	10423	A8K3L7; Q6ZN70; Q6FGU1; KEGG::10423
362484	Q5H9M0	MUM1L1	PWWP domain-containing protein MUM1L1	139221	Q96MT6; D3DUX2; Q8N2C0; Q49AS5; KEGG::139221
57396	Q9H305	CDIP1	Cell death-inducing p53-target protein 1	29965	A8K7M1; Q9H0Q4; D3DUD6; Q9P112; B4DFU1; Q96ID8; B4DY75; KEGG::29965
429424	Q9UJV8	PURG	Purine-rich element-binding protein gamma	29942	Q8TE64; KEGG::29942
191875	C9JLR9	C11orf95	Uncharacterized protein C11orf95	65998	Q3C1V4; A6NLS7; KEGG::65998
535648	Q15772	SPEG	Striated muscle preferentially expressed protein kinase	10290	Q6ZQW1; A8K0G6; Q695L1; Q27J74; Q6FGA6; A8MRU0; Q9P2P9; Q6ZTL8; KEGG::10290
639147	Q66K41	ZNF385C	Zinc finger protein 385C	-	Q4G0J1
339280	P21145	MAL	Myelin and lymphocyte protein	4118	Q6FH77; KEGG::4118
90751	P63165	SUMO1	Small ubiquitin-related modifier 1	7341	Q6NZ62; Q93068; B2R4I5; A8MUS8; Q6FGG0; P55856; A8MUS8,P6; KEGG::7341
248889	Q8N9I5	FADS6	Fatty acid desaturase 6	283985	Q6XYE1; Q17RQ7; KEGG::283985
145274	P00352	ALDH1A1	Retinal dehydrogenase 1	216	Q5SYR1; O00768; KEGG::216
248880	O95864	FADS2	Fatty acid desaturase 2	9415	Q96SV8; Q9H3G3; Q9Y3X4; Q96H07; A8K2M6; Q6MZQ7; KEGG::9415
171249	O75531	BANF1	Barrier-to-autointegration factor	8815	Q6FGG7; O60558; KEGG::8815
279107	Q8TAA5	GRPEL2	GrpE protein homolog 2, mitochondrial	134266	Q49AJ6; KEGG::134266
344786	Q9BQA1	WDR77	Methylosome protein 50	79084	Q9BWY3; B3KMW6; Q96GK4; Q53FU2; Q6JZZ5; Q3LID2; KEGG::79084
2725044	Q01668	CACNA1D	-	-	Q59GD8; B0FYA3; KEGG::776
142326	Q9UKJ8	ADAM21	Disintegrin and metalloproteinase domain-containing protein 21	8747	Q2VPC6; O43507; Q32MR0; KEGG::8747
142325	O43506	ADAM20	Disintegrin and metalloproteinase domain-containing protein 20	8748	Q9UKJ9; Q6GTZ1; KEGG::8748
47440	Q8TE99	ACPL2; DKFZp434B2119	Acid phosphatase-like protein 2	92370	D3DNF5; Q49AJ2; Q9NT50; KEGG::92370
528699	O43175	PHGDH	D-3-phosphoglycerate dehydrogenase	26227	B2RD08; Q9BQ01; Q5SZU3; KEGG::26227
90754	O75575	CRCP	DNA-directed RNA polymerase III subunit RPC9	27297	B2R4H4; Q8IXL4; Q3KRA3; A8MW23; B4E198,O7; A8MUZ4; B4E198; Q5HYF1; KEGG::27297
142329	O75077	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23	8745	A2RU59; KEGG::8745
339424	Q5VSG8	MANEAL	Glycoprotein endo-alpha-1,2-mannosidase-like protein	149175	Q8N5P8; Q96G55; Q6DD86; Q96N42; Q6P497; KEGG::149175
183477	Q6P9F0	CCDC62	Coiled-coil domain-containing protein 62	84660	Q6ZVF2; Q9BYZ5; A8K8V1; Q86VJ0; B3KUP3; KEGG::84660
594146	O95498	VNN2	Vascular non-inflammatory molecule 2	8875	F6XL73; Q9UJF3; A8K7W0; A6NDY1; B2DFZ2; B2DFZ3; B2DFZ0; B2DFZ1; Q9UMW2; Q2XUN1; A0AUZ3; A8K4E3; O95498,A8; KEGG::8875
241491	Q14264	ERV3-1	HERV-R_7q21.2 provirus ancestral Env polyprotein; Surface protein; Transmembrane protein	2086	KEGG::2086
331631	Q9HAT1	LMAN1L	Protein ERGIC-53-like	79748	Q6UWN2; KEGG::79748
331636	Q9H0V9	LMAN2L	VIP36-like protein	81562	Q53S67; Q8NBQ6; Q9BQ14; D3DXH6; Q53GV3; Q63HN6; KEGG::81562
195860	P26992	CNTFR	Ciliary neurotrophic factor receptor subunit alpha	1271	Q5U050; P26992,Q5; KEGG::1271
230779	O75319	DUSP11	RNA/RNP complex-1-interacting phosphatase	8446	Q9BWE3; B2RCT8; Q6AI47; KEGG::8446
230776	Q9Y6W6	DUSP10	Dual specificity protein phosphatase 10	11221	Q6GSI4; Q9H9Z5; D3DTB4; KEGG::11221
576810	Q7RTX0	TAS1R3	Taste receptor type 1 member 3	83756	Q5TA49; Q8NGW9; KEGG::83756
2720402	Q16768	GAPD	-	-	-
639668	Q5TFG8	ZC2HC1B	Zinc finger C2HC domain-containing protein 1B	153918	B2RUZ7; Q5TFG9; KEGG::153918
147823	P50579	METAP2	Methionine aminopeptidase 2	10988	B2RDI8; KEGG::10988
459356	Q02543	RPL18A	60S ribosomal protein L18a	6142	KEGG::6142
320278	A8MWS1	KIR3DP1	Putative killer cell immunoglobulin-like receptor like protein KIR3DP1	-	-
320279	Q14943	KIR3DS1	Killer cell immunoglobulin-like receptor 3DS1	-	-
320272	Q8NHK3	KIR2DL5B	Killer cell immunoglobulin-like receptor 2DL5B	-	-
320273	P43632	KIR2DS4	Killer cell immunoglobulin-like receptor 2DS4	3809	P43632,Q6; Q6H2G7; KEGG::3809
320270	Q99706	KIR2DL4	Killer cell immunoglobulin-like receptor 2DL4	3805	Q99559; O14624; O14622; O14623; O14621; Q8N738; P78401; P78400; A8W795; Q99560; Q99561; Q99562; O43534; Q9UQJ7; KEGG::3805
320271	Q8N109	KIR2DL5A	Killer cell immunoglobulin-like receptor 2DL5A	57292	KEGG::57292
320277	Q8N743	KIR3DL3	Killer cell immunoglobulin-like receptor 3DL3	115653; 100133046	A9PL68; A9Q066; A9PL62; Q1X782; Q1X781; Q1X780; A9PL66; A9PL67; A9PL64; A9PL65; A9PZV4; A9PZV7; A9PZV8; Q8NHI2; Q8NHI3; O95056; Q1X783; A9Q250; A9Q251; Q7Z7N4; Q9UEI4; Q1X777; Q1X775; A9Q0R5; Q1X778; Q1X779; A9Q242; KEGG::100133046; KEGG::115653
320274	Q14953	KIR2DS5	Killer cell immunoglobulin-like receptor 2DS5	-	-
195776	Q9UFF9	CNOT8	CCR4-NOT transcription complex subunit 8	9337	O95709; B2RAR8; D3DQI8; Q7Z521; Q9H6Y1; KEGG::9337
185786	Q6NVV7	CDPF1	Cysteine-rich DPF motif domain-containing protein 1	150383	Q3ZCR8; A9IU16; A6NCA1; A9IU12; KEGG::150383
246843	Q96G04	FAM86A	Protein FAM86A	196483	Q96S85; D3DUF0; KEGG::196483
246841	Q96KN1	FAM84B	Protein FAM84B	157638	KEGG::157638
184791	P0C7X3	CCNYL3	Putative cyclin-Y-like protein 3	-	B5MCU7
246847	Q8N852	FAM87B	Protein FAM87B	-	-
246845	Q9NVL1	FAM86C1	Protein FAM86C1	55199	Q8N5D3; G3V0F7; KEGG::55199
139196	P22303	ACHE	Acetylcholinesterase	43	Q16169; Q53F46; Q86TM9; B7ZKZ0; Q9BXP7; Q504V3; A4D2E2; D6W5X7; Q2M324; Q29S23; Q86YX9; KEGG::43
2738165	Q9HBN3	POLL	-	-	-
2726373	Q5QPE5	SNX5	-	-	-
243721	Q9BSJ8	ESYT1	Extended synaptotagmin-1	23344	A8K2S2; O94848; A0FGR7; Q9Y416; Q6PJN4; Q9H6J1; Q9H6W2; KEGG::23344
243722	Q3U7R1	Esyt1	Extended synaptotagmin-1	23943	Q91X62; Q9CVH0; Q8C8R1; Q9Z1X6; Q9Z1X5; KEGG::23943
243725	A0FGR8	ESYT2	Extended synaptotagmin-2	57488	Q6UKI4; Q9BQS0; Q69YJ2; Q6ZVU1; Q9NW47; Q9ULJ2; A4D229; Q6ZTU0; KEGG::57488
243727	A0FGR9	ESYT3	Extended synaptotagmin-3	83850	Q8NDZ5; Q6ZV21; Q9BQR9; A8K0G5; KEGG::83850
528733	Q9NRX5	SERINC1	Serine incorporator 1	57515	Q8TAG1; Q9ULG7; Q7Z2F5; Q9NTH8; O75655; B3KY69; E1P565; KEGG::57515
317106	O43448	KCNAB3	Voltage-gated potassium channel subunit beta-3	9196	Q4VAW0; KEGG::9196
60659	O75881	CYP7B1	25-hydroxycholesterol 7-alpha-hydroxylase	9420	Q05C57; Q9UNF5; B2RN07; KEGG::9420
242106	Q7L775	EPM2AIP1	EPM2A-interacting protein 1	9852	Q9H3L3; O94866; KEGG::9852
584154	Q53HI1	UNC50	Protein unc-50 homolog	25972	Q9Y4S6; Q6X7B9; Q53S98; Q5U5U2; Q9UQF4; Q53TD6; D3DVH4; KEGG::25972
398750	Q9BYE7	PCGF6	Polycomb group RING finger protein 6	84108	Q5SYD1; Q5SYD6; Q96SJ1; Q96ID9; A8K3R4; KEGG::84108
547024	O95363	FARS2	Phenylalanine--tRNA ligase, mitochondrial	10667	Q6FG29; B2R664; Q5TCS3; Q9NPY7; Q53F66; Q9P062; KEGG::10667
212695	Q96J86	CYYR1	Cysteine and tyrosine-rich protein 1	116159	Q96NV7; Q5JPD0; B2R845; Q53ER3; KEGG::116159
89439	Q96PF2	TSSK2	Testis-specific serine/threonine-protein kinase 2	23617	Q8IY55; Q96PF2,A0; A0ZT99; KEGG::23617
89438	Q9BXA7	TSSK1; TSSK1B	Testis-specific serine/threonine-protein kinase 1	83942	B2R8D9; A0ZT98; A0ZT98,Q9; KEGG::83942
355775	Q86WK9	PAQR7	Membrane progestin receptor alpha	164091	Q5XKF9; A2A2D3; Q86VE4; KEGG::164091
245764	Q05DH4	FAM160A1	Protein FAM160A1	729830	Q6ZUS2; KEGG::729830
599083	O75695	RP2	Protein XRP2	6102	Q9NU67; Q86XJ7; KEGG::6102
255923	Q05932	FPGS	Folylpolyglutamate synthase, mitochondrial	2356	Q6P2P6; F5H0K6; B3KPW4; Q5JU19; B7Z2Z3; Q5JU22; KEGG::2356
388704	Q9UKK6	NXT1	NTF2-related export protein 1	29107	KEGG::29107
580700	P22314	UBA1	Ubiquitin-like modifier-activating enzyme 1	7317	Q5JRR8; Q96E13; KEGG::7317
99945	Q8N122	raptor; RPTOR	Regulatory-associated protein of mTOR	57521	Q8N122,Q6; Q8N4V9; B2RN36; F5H7J5; Q6DKI0; Q8TB32; Q9P2P3; KEGG::57521
177973	Q7Z3S7	CACNA2D4	Voltage-dependent calcium channel subunit alpha-2/delta-4; Voltage-dependent calcium channel subunit alpha-2-4; Voltage-dependent calcium channel subunit delta-4	93589	Q8IZS9; Q86XZ5; Q7Z3S8; KEGG::93589
250256	Q6X9E4	FBXW12	F-box/WD repeat-containing protein 12	285231	E9PG36; Q494Z0; Q494Y9; KEGG::285231
555792	B2RXF0	TMEM229A	Transmembrane protein 229A	730130	A4D0X6; KEGG::730130
350269	Q13164	MAPK7	Mitogen-activated protein kinase 7	5598	Q59F50; Q96G51; Q16634; Q6QLU7; Q7L4P4; Q969G1; KEGG::5598
302692	Q14602	ID2B	Putative DNA-binding protein inhibitor ID-2B	-	-
199642	Q9UBI1	COMMD3	COMM domain-containing protein 3	23412	Q5T8Y9; D3DRU7; KEGG::23412
192048	A2RU48	C12orf69	Uncharacterized protein C12orf69	440087	Q8NAI5; KEGG::440087
199647	Q9H0A8	COMMD4	COMM domain-containing protein 4	54939	B2RBN4; Q9NX43; Q7L637; KEGG::54939
371564	Q14919	DRAP1	Dr1-associated corepressor	10589	Q13448; KEGG::10589
2737220	Q9BU74	ZNF434	-	-	-
534378	Q9H0E3	SAP130	Histone deacetylase complex subunit SAP130	79595	Q9H0E3,B7; Q53T46; B7ZLM3; C9K0X9; Q8WVW4; Q4ZFV4; Q9H9G8; KEGG::79595
2737224	Q9BUD9	AAK1	-	-	-
96514	Q7L1V2	MON1B	Vacuolar fusion protein MON1 homolog B	22879	O94949; Q6ZR87; KEGG::22879
341974	Q99750	MDFI	MyoD family inhibitor	4188	KEGG::4188
357383	Q8N565	MREG	Melanoregulin	55686	Q53TC1; Q5XKB6; Q9P1S1; Q9NWC9; Q53R89; KEGG::55686
2700051	H0YE48	FPGT-TNNI3K	-	-	-
99671	A2RRP1	NBAS	Neuroblastoma-amplified sequence	51594	O95790; Q2VPJ7; Q86V39; G1UI26; Q8NFY8; Q53TK6; Q9Y3W5; KEGG::51594
99678	Q9H6E5	TUT1	Speckle targeted PIP5K1A-regulated poly(A) polymerase	64852	Q7L583; F5H0R1; A8K995; Q9H6H7; Q2NL65; A1A527; KEGG::64852
295007	A2RU54	HMX2	Homeobox protein HMX2	3167	B2RNV5; KEGG::3167
295004	Q9NP08	HMX1	Homeobox protein HMX1	3166	KEGG::3166
381863	Q96HA8	WDYHV1	Protein N-terminal glutamine amidohydrolase	55093	Q9NW95; KEGG::55093
565446	P35625	TIMP3	Metalloproteinase inhibitor 3	7078	Q9UC74; Q5THV4; Q9UGS2; B2RBY9; KEGG::7078
190573	Q8NCH0	CHST14	Carbohydrate sulfotransferase 14	113189	Q96P94; Q6PJ31; Q6UXA0; KEGG::113189
566939	Q5BJF2	TMEM97	Transmembrane protein 97	27346	B4DS02; Q07823; KEGG::27346
566934	Q6UXU6	TMEM92	Transmembrane protein 92	162461	Q8NBF0; KEGG::162461
566936	Q3KNT9	TMEM95	Transmembrane protein 95	339168	Q8IW68; B7WPI7; Q6UXT3; KEGG::339168
566932	A6NI61	TMEM8C	Transmembrane protein 8C	389827	KEGG::389827
194760	P10909	CLU	Clusterin; Clusterin beta chain; Clusterin alpha chain	1191	Q5HYC1; Q2TU75; B3KSE6; Q7Z5B9; P11381; P11380; B2R9Q1; KEGG::1191
268158	Q96GU1	PAGE5	G antigen family E member 1	90737	Q2NL97; Q8WWL9; Q5JUL0; KEGG::90737
268159	Q7Z2X7	PAGE2	G antigen family E member 2	203569	Q5JRK8; Q5JRK7; KEGG::203569
90062	Q99593	TBX5	T-box transcription factor TBX5	6910	Q96TB0; A6ND77; Q9Y4I2; O15301; Q99593,A6; KEGG::6910
268156	Q9UEU5	GAGE2D; GAGE8	G antigen 2D	729408; 100101629	A6NG46; A6NNR8; B7ZL76; Q4V325; KEGG::100101629; KEGG::729408
222838	Q00796	SORD	Sorbitol dehydrogenase	6652	B2R655; Q9UMD6; Q16682; J3JZZ5; KEGG::6652
268157	Q5JUK9	PAGE3	Putative G antigen family D member 1	-	A5D6Y1
107359	Q9UDX4	SEC14L3	SEC14-like protein 3	266629	Q6XCI7; Q495V9; Q495V8; E9PE57; E7EN74; Q495W0; Q495W1; KEGG::266629
423939	O95456	PSMG1	Proteasome assembly chaperone 1	8624	Q6FHD3; B5BUN2; Q6FHA3; Q6S713; KEGG::8624
542411	O60279	SUSD5	Sushi domain-containing protein 5	26032	KEGG::26032
192595	Q8TDQ1	CD300LF	CMRF35-like molecule 1	146722	Q6UX24; Q3Y6P0; C9JDN3; Q7Z6A6; Q8N6D0; Q7Z7I5; Q7Z7I4; B2RCL2; Q8NAF5; KEGG::146722
181320	Q8WUQ7	CACTIN	Cactin	58509	Q7LE08; A9UL12; O75229; Q9Y5A4; Q9BTA6; A6NNA9; KEGG::58509
2739676	Q9UL32	BOK	-	-	-
234095	Q5VTE0	EEF1A1P5	Putative elongation factor 1-alpha-like 3	-	-
182897	Q96PX6	CCDC85A	Coiled-coil domain-containing protein 85A	114800	KEGG::114800
181329	P43235	CTSK	Cathepsin K	1513	Q6FHS6; P43235,Q6; KEGG::1513
253194	Q00688	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	2287	Q14317; B2R4Q9; KEGG::2287
186802	Q5I0X4	C6orf226	Uncharacterized protein C6orf226	441150	KEGG::441150
186800	P0C671	C6orf222	Uncharacterized protein C6orf222	389384	B2RTY8; KEGG::389384
332838	Q16609	LPAL2	Putative apolipoprotein(a)-like protein 2	-	E1P5B4
51360	Q9BXN1	ASPN	Asporin	54829	B4E2Z7; Q9NXP3; Q96K79; Q5TBF3; Q96LD0; KEGG::54829
182702	Q8WV48	CCDC107	Coiled-coil domain-containing protein 107	203260	Q86VB6; A6XND6; Q5T4R5; Q8N2E4; F8W8S5; Q5T4R8; Q5T4R9; KEGG::203260
533160	Q13487	SNAPC2	snRNA-activating protein complex subunit 2	6618	Q13486; D6W663; B2RBZ6; KEGG::6618
75964	Q13451	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5	2289	F5H7R1; Q5TGM6; Q2TA84; Q59EB8; Q2TA84,Q1; KEGG::2289
196188	P05997	COL5A2	Collagen alpha-2(V) chain	1290	Q86XF6; P78440; Q59GR4; Q6LDJ5; Q53WR4; Q13908; Q7KZ55; Q96QB0; Q96QB3; KEGG::1290
75969	O95302	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	11328	B3KY35; Q2M2A1; A7YQ73; Q96IJ9; Q96EX5; Q3MIR7; Q6IN76; Q6P2N1; KEGG::11328
196180	P53420	COL4A4	Collagen alpha-4(IV) chain	1286	A8MTZ1; Q53S42; Q53RW9; Q53WR1; KEGG::1286
533164	Q92966	SNAPC3	snRNA-activating protein complex subunit 3	6619	D3DRI8; Q5T285; Q2VPI6; KEGG::6619
182705	Q8TBZ0	CCDC110	Coiled-coil domain-containing protein 110	256309	Q86YI9; Q8N7W0; KEGG::256309
57456	P38936	CDKN1A	Cyclin-dependent kinase inhibitor 1	1026	Q14010; P38936,Q6; Q6FI05; Q9BUT4; KEGG::1026
94315	Q96BZ9	TBC1D20	TBC1 domain family member 20	128637	Q96NE1; A8K6I3; Q6ZSY8; Q9BYM7; Q9H140; Q5JWQ7; B9A6M1; KEGG::128637
57458	P46527	CDKN1B	Cyclin-dependent kinase inhibitor 1B	1027	Q9BUS6; Q5U0H2; P46527,Q6; Q6I9V6; Q16307; KEGG::1027
531474	Q9P0V8	SLAMF8	SLAM family member 8	56833	Q5VU15; Q32MC6; KEGG::56833
531470	Q9UIB8	CD84	SLAM family member 5	8832	B7Z3R8; O95660; B2R8T1; Q5H9R1; O15430; Q9UIT7; Q6FHA8; O95266; Q8WLP1; Q8WWI8; Q9UF04; Q9UIB6; Q9UIB7; KEGG::8832
62933	P50461	CSRP3	Cysteine and glycine-rich protein 3	8048	A2TDB8,P5; A2TDB8; Q9P131; KEGG::8048
531472	Q9NQ25	SLAMF7	SLAM family member 7	57823	Q8ND32; Q9NY23; Q8N6Y8; Q9NY08; KEGG::57823
220711	Q8WUY9	DEPDC1B	DEP domain-containing protein 1B	55789	Q86WJ3; B4DUT4; Q8IZY6; A8K3R9; Q9NW57; Q9NUN3; KEGG::55789
203636	Q9UGL9	CRCT1	Cysteine-rich C-terminal protein 1	54544	A4QN00; Q6IAD7; KEGG::54544
203635	P23508	MCC	Colorectal mutant cancer protein	4163	D3DT05; Q6ZR04; KEGG::4163
2733244	Q9UL54	TAOK2	-	-	A0PJ48; Q86V37
337922	Q7Z4W2	LYZL2	Lysozyme-like protein 2	119180	Q6NZ69; KEGG::119180
337920	Q6UWQ5	LYZL1	Lysozyme-like protein 1	84569	Q8WW16; Q5T921; KEGG::84569
337926	Q96QH8	SPACA5; SPACA5B	Sperm acrosome-associated protein 5	389852; 729201	Q6UWD1; KEGG::729201; KEGG::389852
110277	Q9NTN9; Q9NWU8	SEMA4G	Semaphorin-4G	57715	A6NJY8; A1A5C6; Q58EY1; Q9HCF3; KEGG::57715
299025	P48741	HSPA7	Putative heat shock 70 kDa protein 7	-	P19790
299020	P17066	HSPA6	Heat shock 70 kDa protein 6	3310	Q9BT95; Q8IYK7; Q1HBA8; KEGG::3310
628483	Q8NA96	-	Putative uncharacterized protein FLJ35723	-	-
628480	A6NLC8	-	Putative TAF11-like protein ENSP00000332601	-	-
522176	Q8N697	SLC15A4	Solute carrier family 15 member 4	121260	Q8TAH0; Q71M34; B3KTK1; A6H8Y9; Q7Z5F8; KEGG::121260
229173	P0CG22	DHRS4L1	Putative dehydrogenase/reductase SDR family member 4-like 2	728635	KEGG::728635
229174	Q6PKH6	DHRS4L2	Dehydrogenase/reductase SDR family member 4-like 2	-	Q3YLD4
89181	Q96S38	RPS6KC1	Ribosomal protein S6 kinase delta-1	26750	B3KVM4; D3DTA4; Q8TDD3; B1APS8; Q96S38,B1; Q9UL66; Q9NSF4; KEGG::26750
218790	Q9NUL7	DDX28	Probable ATP-dependent RNA helicase DDX28	55794	KEGG::55794
56553	Q8IYE0	CCDC146	Coiled-coil domain-containing protein 146	57639	Q9P223; Q96MS1; A8K8X6; KEGG::57639
47181	Q6H8Q1	ABLIM2	Actin-binding LIM protein 2	84448	Q8N9G2; Q6NX73; Q08E71; Q19VH0; Q6H8Q0; E9PF39; Q8N3C5; Q8N9E9; Q96JL7; KEGG::84448
413118	B7ZBB8	PPP1R3G	Protein phosphatase 1 regulatory subunit 3G	648791	KEGG::648791
